chembl_id,smiles,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_molformula,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,np_likeness_score,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb
CHEMBL234938,CC(C)CN1C(=O)CSC1c1cnccc1-c1ccc(Br)cc1,4.74,2,3.96,3.96,,4.81,C18H19BrN2OS,391.33,3,3,0,0,23,NEUTRAL,391.33,390.0401,-0.73,0,0,33.20,0.75,N,4
CHEMBL231820,CCC(C)N1C(=O)CSC1c1cnccc1-c1ccc(Br)cc1,4.88,2,4.01,4.02,,4.81,C18H19BrN2OS,391.33,3,3,0,0,23,NEUTRAL,391.33,390.0401,-0.69,0,0,33.20,0.74,N,4
CHEMBL395982,O=C1CSC(c2cnccc2-c2ccc(Br)cc2)N1C1CC1,4.25,2,3.18,3.19,,4.81,C17H15BrN2OS,375.29,3,3,0,0,22,NEUTRAL,375.29,374.0088,-0.63,0,0,33.20,0.80,N,3
CHEMBL232032,O=C1CSC(c2cnccc2-c2ccc(Br)cc2)N1C1CCCC1,5.03,2,4.07,4.07,,4.81,C19H19BrN2OS,403.35,3,3,0,0,24,NEUTRAL,403.35,402.0401,-0.59,1,1,33.20,0.72,N,3
CHEMBL412849,O=C1CSC(c2cnccc2-c2ccc(Br)cc2)N1C1CCCCC1,5.42,2,4.52,4.52,,4.81,C20H21BrN2OS,417.37,3,3,0,0,25,NEUTRAL,417.37,416.0558,-0.58,1,1,33.20,0.67,N,3
CHEMBL232034,CC(C)CN1C(=O)CSC1c1cnccc1-c1ccccc1,3.98,2,3.19,3.20,,4.82,C18H20N2OS,312.44,3,3,0,0,22,NEUTRAL,312.44,312.1296,-0.66,0,0,33.20,0.86,N,4
CHEMBL245171,CC(C)CN1C(=O)CSC1c1cnccc1-c1ccc(Cl)cc1,4.63,2,3.80,3.80,,4.81,C18H19ClN2OS,346.88,3,3,0,0,23,NEUTRAL,346.88,346.0907,-0.85,0,0,33.20,0.81,N,4
CHEMBL395109,CC(C)CN1C(=O)CSC1c1cnccc1-c1ccc(F)cc1,4.12,2,3.34,3.34,,4.87,C18H19FN2OS,330.43,3,3,0,0,23,NEUTRAL,330.43,330.1202,-0.95,0,0,33.20,0.85,N,4
CHEMBL245173,Cc1ccc(-c2ccncc2C2SCC(=O)N2CC(C)C)cc1,4.29,2,3.71,3.71,,4.88,C19H22N2OS,326.47,3,3,0,0,23,NEUTRAL,326.47,326.1453,-0.73,0,0,33.20,0.84,N,4
CHEMBL243019,CCc1ccc(-c2ccncc2C2SCC(=O)N2CC(C)C)cc1,4.54,2,4.15,4.15,,4.87,C20H24N2OS,340.49,3,3,0,0,24,NEUTRAL,340.49,340.1609,-0.71,0,0,33.20,0.80,N,5
CHEMBL233855,C=Cc1ccc(-c2ccncc2C2SCC(=O)N2CC(C)C)cc1,4.62,2,3.93,3.93,,4.84,C20H22N2OS,338.48,3,3,0,0,24,NEUTRAL,338.48,338.1453,-0.41,0,0,33.20,0.80,N,5
CHEMBL389103,CC(C)CN1C(=O)CSC1c1cnccc1-c1ccc(C(F)(F)F)cc1,5.00,2,4.07,4.07,,4.81,C19H19F3N2OS,380.44,3,3,0,0,26,NEUTRAL,380.44,380.1170,-0.90,0,0,33.20,0.75,N,4
CHEMBL234273,CC(C)CN1C(=O)C[S+]([O-])C1c1cnccc1-c1ccc(Br)cc1,3.76,2,2.69,2.72,8.59,3.82,C18H19BrN2O2S,407.33,3,4,0,0,24,NEUTRAL,407.33,406.0351,-0.43,0,0,56.26,0.73,N,4
CHEMBL234274,CC(C)CN1C(=O)COC1c1cnccc1-c1ccc(Br)cc1,4.02,2,3.56,3.56,,4.72,C18H19BrN2O2,375.27,3,4,0,0,23,NEUTRAL,375.27,374.0630,-0.54,0,0,42.43,0.81,N,4
CHEMBL389993,CC(C)CN1C(=O)CSC1c1ccncc1-c1ccc(Br)cc1,4.74,2,3.96,3.96,,4.64,C18H19BrN2OS,391.33,3,3,0,0,23,NEUTRAL,391.33,390.0401,-0.81,0,0,33.20,0.75,N,4
CHEMBL234490,CC(C)CN1C(=O)CSC1c1ccncc1-c1ccc(Cl)cc1,4.63,2,3.80,3.80,,4.64,C18H19ClN2OS,346.88,3,3,0,0,23,NEUTRAL,346.88,346.0907,-0.93,0,0,33.20,0.81,N,4
CHEMBL234491,CC(C)CN1C(=O)CSC1c1ccncc1-c1ccc(F)cc1,4.12,2,3.34,3.34,,4.65,C18H19FN2OS,330.43,3,3,0,0,23,NEUTRAL,330.43,330.1202,-1.03,0,0,33.20,0.85,N,4
CHEMBL234698,COc1ccc(-c2cnccc2C2SCC(=O)N2CC(C)C)cc1,3.99,2,3.04,3.04,,4.65,C19H22N2O2S,342.46,4,4,0,0,24,NEUTRAL,342.46,342.1402,-0.67,0,0,42.43,0.82,N,5
CHEMBL234914,Cc1ccc(-c2cnccc2C2SCC(=O)N2CC(C)C)cc1,4.29,2,3.71,3.71,,4.65,C19H22N2OS,326.47,3,3,0,0,23,NEUTRAL,326.47,326.1453,-0.81,0,0,33.20,0.84,N,4
CHEMBL234915,C=Cc1ccc(-c2cnccc2C2SCC(=O)N2CC(C)C)cc1,4.62,2,3.93,3.93,,4.64,C20H22N2OS,338.48,3,3,0,0,24,NEUTRAL,338.48,338.1453,-0.48,0,0,33.20,0.80,N,5
